claim_id,location,claim_type,value_paper,digits,needs_block,claim,notes
methods_payment,"Results I, p. 6",definitional,1.00,2,FALSE,Dollars paid to MTurk subjects,The deposited data carry no payment field
methods_minutes_low,"Results I, p. 6",definitional,5,0,FALSE,Lower bound of the stated survey length in minutes,The deposited data carry no completion time
methods_minutes_high,"Results I, p. 6",definitional,10,0,FALSE,Upper bound of the stated survey length in minutes,The deposited data carry no completion time
methods_approval_rate,"Results I, p. 6",definitional,95,0,FALSE,Minimum MTurk work approval rate for eligibility,A recruitment criterion the deposited data do not record
methods_max_dvs,"Results I, p. 6",descriptive,2,0,TRUE,Dependent variables analysed per study,"The article says it limited the number to two; whether that holds depends on what counts as a study, and the deposit's own groupings and the appendix's numbering disagree"
methods_two_main_dvs,"Results I, p. 6",definitional,2,0,FALSE,Outcome variables described as the study's main ones,Restates the sentence above; the choice itself is not recorded in the deposit
fn5_persuasion_magnitude,"Footnote 5, p. 6",descriptive,0.2,1,TRUE,Standard deviations by which the treatments move opinion in the direction of the appeal,"Hedged with a tilde in the published sentence, so it is compared as an approximation"
fig2_ci_level,"Results I, p. 6",definitional,95,0,TRUE,Confidence level of the intervals drawn in Figure 2,
fig2_facets,"Figure 2, p. 7",structural,12,0,TRUE,"Facets of Figure 2, one per study",
fig2_top_facets,"Results I, p. 7",structural,9,0,TRUE,Facets comparing two versions of a study,
fig2_two_versions,"Results I, p. 7",structural,2,0,TRUE,Study versions compared in those facets,
fig2_bottom_facets,"Results I, p. 7",structural,3,0,TRUE,Facets comparing three versions of a study,
fig2_three_versions,"Results I, p. 7",structural,3,0,TRUE,Study versions compared in those facets,
fig2_points,"Figure 2, p. 7",structural,90,0,TRUE,Estimates plotted across the twelve facets,"The figure prints no numbers, so what it plots is the quantity it asserts"
fig2_axis_ticks,"Figure 2, p. 7",structural,,,FALSE,Axis tick labels of the twelve facets,"Each facet's coordinate system, set by scales = ""free"" in figure_2_study_estimates.R and verified at the point of use"
results_pairs,"Results I, p. 8",pipeline,40,0,TRUE,Original-MTurk pairs of coefficients estimated,
results_orig_sig,"Results I, p. 8",pipeline,25,0,TRUE,Coefficients significant in the original studies,
results_replicated,"Results I, p. 8",pipeline,18,0,TRUE,"Of those, coefficients also significant on MTurk",
results_orig_nonsig,"Results I, p. 8",pipeline,15,0,TRUE,Coefficients not significant in the original studies,
results_nonsig_maintained,"Results I, p. 8",pipeline,11,0,TRUE,"Of those, coefficients also not significant on MTurk",
results_formula_replicated,"Results I, p. 8",pipeline,18,0,TRUE,"Replicated significant coefficients, restated inside the replication-rate formula",
results_formula_nonsig,"Results I, p. 8",pipeline,11,0,TRUE,"Replicated null coefficients, restated inside the replication-rate formula",
results_formula_orig_sig,"Results I, p. 8",pipeline,25,0,TRUE,"Originally significant coefficients, restated inside the replication-rate formula",
results_formula_orig_nonsig,"Results I, p. 8",pipeline,15,0,TRUE,"Originally null coefficients, restated inside the replication-rate formula",
results_replication_rate,"Results I, p. 8",pipeline,72.5,1,TRUE,"Replication rate, narrowly defined, as a percentage",
results_zero_sign_flips,"Results I, p. 8",descriptive,0,0,TRUE,Cases in which two versions of a study returned significant coefficients of opposite sign,
results_power_illustration,"Results I, p. 8",definitional,0.01,2,FALSE,Power used in the hypothetical illustration,"A hypothetical, not an estimate"
results_power_percent,"Results I, p. 8",definitional,1,0,FALSE,The same hypothetical power as a percentage,"A hypothetical, not an estimate"
results_match_rate_ceiling,"Results I, p. 8",definitional,100,0,FALSE,"Match rate the hypothetical would produce, as a percentage","A hypothetical, not an estimate"
results_osc_ci,"Results I, p. 8",definitional,95,0,FALSE,Confidence level of the interval in the Open Science Collaboration measure,A description of another article's measure
results_12_pairs,"Results I, p. 8",structural,12,0,TRUE,"Study pairs behind the correlation, restated",
results_40_coefficients,"Results I, p. 8",structural,40,0,TRUE,"Coefficients behind the correlation, restated",
results_correlation,"Results I, p. 8",pipeline,0.85,2,TRUE,Correlation between the MTurk and original coefficients,
results_df,"Results I, p. 8",definitional,38,0,TRUE,Degrees of freedom of that correlation,
fig3_ci_level,"Results I, p. 8",definitional,95,0,TRUE,Confidence level of the intervals drawn in Figure 3,
results_gfk_studies,"Results I, p. 8",structural,3,0,TRUE,Studies replicated in parallel on MTurk and on fresh TESS/GfK samples,
results_gfk_coefficients,"Results I, p. 8",structural,10,0,TRUE,Coefficients in those three studies,
results_cor_mt_orig_gfk,"Results I, p. 8",pipeline,0.90,2,TRUE,Correlation of the MTurk and original estimates on the TESS/GfK subset,
results_df_mt_orig_gfk,"Results I, p. 8",definitional,8,0,TRUE,Degrees of freedom of that correlation,
results_cor_gfk_mt,"Results I, p. 8",pipeline,0.96,2,TRUE,Correlation of the TESS/GfK and MTurk estimates,
results_df_gfk_mt,"Results I, p. 8",definitional,8,0,TRUE,Degrees of freedom of that correlation,
results_cor_gfk_orig,"Results I, p. 8",pipeline,0.85,2,TRUE,Correlation of the TESS/GfK and original estimates,
results_df_gfk_orig,"Results I, p. 8",definitional,8,0,TRUE,Degrees of freedom of that correlation,
fig3_points,"Figure 3, p. 9",structural,40,0,TRUE,Coefficient pairs plotted in Figure 3,"The figure prints no numbers, so what it plots is the quantity it asserts"
fig3_axis_ticks,"Figure 3, p. 9",structural,,,FALSE,Axis tick labels of Figure 3,"The plot's coordinate system, set by coord_cartesian() in figure_3_mt_original_scatter.R and verified at the point of use"
method_ci_9999,"Results II, p. 9",definitional,99.99,2,FALSE,Confidence level of the interval of plausible constant effects,"Set by qnorm(0.9999) in the deposit's coppock_generalizability_ri_functions.R, which the rewrite sources unchanged, and verified at that call site"
eq1_null_effect,"Equation 1, p. 10",definitional,0,0,FALSE,Coefficient on the treatment indicator in the simulation's potential outcomes function,A stipulated parameter of the simulation
sim_z_low,"Results II, p. 10",definitional,0,0,FALSE,Lower value the treatment indicator can take,A stipulated parameter
sim_z_high,"Results II, p. 10",definitional,1,0,FALSE,Upper value the treatment indicator can take,A stipulated parameter
sim_illustration_positive,"Results II, p. 10",definitional,0.5,1,FALSE,Standard units of the illustrative large positive effect,A hypothetical illustration
sim_illustration_negative,"Results II, p. 10",definitional,0.5,1,FALSE,Standard units of the illustrative large negative effect,A hypothetical illustration
sim_illustration_sd,"Results II, p. 10",definitional,0.5,1,FALSE,Standard deviation of treatment effects the illustration implies,A hypothetical illustration
sim_parameters,"Results II, p. 10",structural,2,0,TRUE,Parameters the simulation study varied,
fig4_typical_arm,"Results II, p. 10",descriptive,500,0,FALSE,Subjects per treatment arm the MTurk replications typically employ,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
fig4_het_02,"Results II, p. 10",definitional,0.2,1,TRUE,"Heterogeneity scale, in standard deviations, at which the article claims high power",
fig4_power_at_02,"Results II, p. 10",pipeline,0.8,1,TRUE,Simulated power to detect that heterogeneity at 500 subjects per arm,Hedged with an approximation sign in the published sentence
fig4_het_01,"Results II, p. 10",definitional,0.1,1,TRUE,Heterogeneity scale at which the article claims moderate power,
fig4_power_at_01,"Results II, p. 10",pipeline,0.6,1,TRUE,Simulated power to detect that heterogeneity at 500 subjects per arm,Hedged with an approximation sign in the published sentence
fig4_axis_ticks,"Figure 4, p. 10",structural,,,FALSE,Axis tick labels and colour-bar breaks of Figure 4,"The plot's coordinate system, set by scale_y_continuous() and scale_color_gradient() in figure_4_power_simulation.R and verified at the point of use"
fig4_reference_power,"Figure 4, p. 10",structural,0.8,1,FALSE,Power at which Figure 4 draws its horizontal reference line,A guide line rather than a simulated value; set by geom_hline() in figure_4_power_simulation.R and verified at that call site
fig4_reference_arm,"Figure 4, p. 10",structural,500,0,FALSE,Subjects per arm at which Figure 4 draws its vertical reference line,A guide line rather than a simulated value; set by geom_vline() in figure_4_power_simulation.R and verified at that call site
fig4_annotation_sigma,"Figure 4, p. 10",structural,0.2,1,FALSE,Heterogeneity scale named in the annotation printed on the face of Figure 4,Typeset by annotate() in figure_4_power_simulation.R and verified at that call site
results2_total_studies,"Results II, p. 10",structural,27,0,TRUE,Studies the heterogeneity test is applied to,
results2_original_studies,"Results II, p. 10",structural,12,0,TRUE,Original studies among them,
results2_replications,"Results II, p. 10",structural,15,0,TRUE,Replications among them,
text_original_studies,"Results II, p. 10",structural,12,0,TRUE,"Original studies, restated at the head of the sentence reporting their significant tests",
text_original_n_sig,"Results II, p. 10",pipeline,1,0,TRUE,Original comparisons the text says revealed effect heterogeneity,
text_original_n_comparisons,"Results II, p. 10",pipeline,40,0,TRUE,"Original treatment-versus-control comparisons, as the text states them",
text_mt_n_sig,"Results II, p. 10",pipeline,8,0,TRUE,MTurk treatments the text says were shown to have heterogeneous effects,
text_mt_n_comparisons,"Results II, p. 10",pipeline,40,0,TRUE,"MTurk comparisons, as the text states them",
text_gfk_n_sig,"Results II, p. 10",pipeline,0,0,TRUE,TESS/GfK tests the text says were significant,
text_gfk_n_comparisons,"Results II, p. 10",pipeline,10,0,TRUE,"TESS/GfK tests, as the text states them",
text_one_shared_case,"Results II, pp. 10-11",descriptive,1,0,TRUE,Cases in which the same comparison returned a significant test statistic across samples,
t2_original_n_comparisons,"Table 2, p. 11",pipeline,40,0,TRUE,"Table 2, Original, N Comparisons",
t2_original_n_sig,"Table 2, p. 11",pipeline,1,0,TRUE,"Table 2, Original, N Significant",
t2_original_n_sig_holm,"Table 2, p. 11",pipeline,0,0,TRUE,"Table 2, Original, N Significant (Holm)",
t2_mt_n_comparisons,"Table 2, p. 11",pipeline,40,0,TRUE,"Table 2, Mechanical Turk, N Comparisons",
t2_mt_n_sig,"Table 2, p. 11",pipeline,9,0,TRUE,"Table 2, Mechanical Turk, N Significant",
t2_mt_n_sig_holm,"Table 2, p. 11",pipeline,8,0,TRUE,"Table 2, Mechanical Turk, N Significant (Holm)",
t2_gfk_n_comparisons,"Table 2, p. 11",pipeline,10,0,TRUE,"Table 2, TESS/GfK, N Comparisons",
t2_gfk_n_sig,"Table 2, p. 11",pipeline,2,0,TRUE,"Table 2, TESS/GfK, N Significant",
t2_gfk_n_sig_holm,"Table 2, p. 11",pipeline,0,0,TRUE,"Table 2, TESS/GfK, N Significant (Holm)",
fn8_holm_year,"Footnote 8, p. 11",transcribed,1979,0,FALSE,Year of the Holm correction the footnote describes,A citation year
disc_response_rate,"Discussion, p. 12",transcribed,9,0,FALSE,"Telephone survey response rate, as a percentage, cited from Keeter et al. (2017)",A property of the cited report
disc_osc_papers,"Discussion, p. 12",transcribed,100,0,FALSE,Psychology papers in the Open Science Collaboration replication effort,A property of the cited study
disc_osc_low,"Discussion, p. 12",transcribed,1/3,0,FALSE,Lower end of the share of those papers said to replicate,"Spelled out as ""one-third""; a property of the cited study"
disc_osc_high,"Discussion, p. 12",transcribed,1/2,0,FALSE,Upper end of that share,"Spelled out as ""one-half""; a property of the cited study"
ta1_original_entries,"Table A1, pp. 15-16",pipeline,40,0,TRUE,"Table A1 entries in the Original column, each an estimate, a standard error and a significance star, checked cell by cell against ground_truth/published_table_a1.csv",
ta1_mt_entries,"Table A1, pp. 15-16",pipeline,40,0,TRUE,"Table A1 entries in the Mechanical Turk column, each an estimate, a standard error and a significance star, checked cell by cell against ground_truth/published_table_a1.csv",
ta1_gfk_entries,"Table A1, pp. 15-16",pipeline,10,0,TRUE,"Table A1 entries in the TESS/GfK column, each an estimate, a standard error and a significance star, checked cell by cell against ground_truth/published_table_a1.csv",
ta1_note_alpha,"Table A1 note, p. 16",definitional,0.05,2,FALSE,Significance threshold the Table A1 stars mark,Set by format_entry() in maintained/helpers.R and verified at that call site
appx_t1_treatment_cells,Online Appendix Table 1,pipeline,4,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 1 (Gun Control), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t1_other_cells,Online Appendix Table 1,pipeline,8,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 1 (Gun Control)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t2_treatment_cells,Online Appendix Table 2,pipeline,8,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 2 (Immigration), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t2_other_cells,Online Appendix Table 2,pipeline,16,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 2 (Immigration)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t3_treatment_cells,Online Appendix Table 3,pipeline,4,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 3 (Death Penalty), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t3_other_cells,Online Appendix Table 3,pipeline,8,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 3 (Death Penalty)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t4_treatment_cells,Online Appendix Table 4,pipeline,8,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 4 (Superordinate Identity), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t4_other_cells,Online Appendix Table 4,pipeline,8,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 4 (Superordinate Identity)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
